Price,Min_Price,Brand,Model,Year of Manufacture,Kilometer Driven,Địa điểm,Thời gian đăng
8.500.000 đ,2 triệu,SYM,Attila,2017,1500,"Phường Thuận Phước, Quận Hải Châu, Đà Nẵng",Đăng 10 giờ trước
44.800.000 đ,37 triệu,Honda,Air Blade,2024,600,"Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng",Đăng 7 ngày trước
55.000.000 đ,7 triệu,Honda,Cub,2001,33333,"Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",Đăng 24 ngày trước
35.000.000 đ,25 triệu,Honda,MSX 125,2020,5000,"Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",Đăng 1 giờ trước
73.500.000 đ,12 triệu,Honda,CB,2013,14000,"Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 2 giờ trước
34.000.000 đ,22 triệu,Honda,Winner X,2022,16590,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 2 giờ trước
31.000.000 đ,27 triệu,Honda,SH Mode,2014,71600,"Phường Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng",Đăng 3 giờ trước
6.500.000 đ,11 triệu,Honda,Wave,2019,9999,"Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",Đăng 4 giờ trước
7.900.000 đ,6 triệu,Yamaha,Sirius,2006,68,"Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng",Đăng 4 giờ trước
12.800.000 đ,6 triệu,Yamaha,Sirius,2012,0,"Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",Đăng 5 giờ trước
31.500.000 đ,29 triệu,Yamaha,Exciter,2022,8000,"Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",Đăng 5 giờ trước
3.700.000 đ,4 triệu,SYM,Attila,2013,156464,"Phường Hòa Phát, Quận Cẩm Lệ, Đà Nẵng",Đăng 5 giờ trước
7.800.000 đ,7 triệu,Hãng khác,Dòng khác,2019,23456,"Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",Đăng 5 giờ trước
34.500.000 đ,26 triệu,Piaggio,Vespa,2016,6868,"Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",Đăng 5 giờ trước
5.500.000 đ,7 triệu,Honda,Click,2010,500000,"Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",Đăng 5 giờ trước
35.500.000 đ,30 triệu,Honda,Scoopy,2023,1,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 6 giờ trước
6.900.000 đ,7 triệu,Piaggio,Liberty,2012,80000,"Phường An Khê, Quận Thanh Khê, Đà Nẵng",Đăng 6 giờ trước
59.500.000 đ,59 triệu,Yamaha,XSR,2023,15000,"Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng",NaN
9.000.000 đ,6 triệu,Yamaha,Nouvo,2016,50000,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",Đăng 6 giờ trước
5.700.000 đ,7 triệu,Yamaha,Nouvo,2015,123,"Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",Đăng 6 giờ trước
16.800.000 đ,15 triệu,Honda,Winner,2018,3838,"Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng",Đăng 6 giờ trước
8.500.000 đ,2 triệu,SYM,Attila,2017,1500,"Phường Thuận Phước, Quận Hải Châu, Đà Nẵng",Đăng 10 giờ trước
79.000.000 đ,77 triệu,Honda,SH,2024,2000,"Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng",Đăng 4 ngày trước
79.800.000 đ,77 triệu,Honda,SH,2024,2000,"Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng",Đăng 12 ngày trước
26.500.000 đ,20 triệu,Honda,Vision,2019,12345,"Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",NaN
35.800.000 đ,31 triệu,Honda,Air Blade,2022,9000,"Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",Đăng 5 ngày trước
36.000.000 đ,32 triệu,Honda,Vario,2020,3838,"Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng",Đăng 7 giờ trước
45.000.000 đ,45 triệu,Honda,SH,2016,69000,"Phường Mân Thái, Quận Sơn Trà, Đà Nẵng",Đăng 7 giờ trước
14.000.000 đ,15 triệu,Honda,Winner,2018,12345,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",Đăng 7 giờ trước
23.500.000 đ,18 triệu,Yamaha,Nvx,2017,15000,"Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",Đăng 7 giờ trước
35.500.000 đ,29 triệu,Honda,Scoopy,2022,14,"Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",Đăng 7 giờ trước
41.000.000 đ,37 triệu,Honda,Air Blade,2024,2000,"Phường Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng",Đăng 7 giờ trước
59.800.000 đ,57 triệu,Honda,SH,2018,15000,"Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",Đăng 7 giờ trước
35.500.000 đ,30 triệu,Yamaha,R,2020,17000,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 10 ngày trước
9.500.000 đ,8 triệu,Yamaha,Sirius,2017,41330,"Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",Đăng 8 giờ trước
15.200.000 đ,9 triệu,Honda,Dylan,2008,123,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",NaN
10.500.000 đ,13 triệu,Yamaha,Janus,2018,10000,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",Đăng 8 giờ trước
15.000.000 đ,18 triệu,Yamaha,FZ,2016,17000,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 11 ngày trước
39.500.000 đ,33 triệu,Honda,Vario,2022,25000,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 23 ngày trước
10.500.000 đ,14 triệu,Yamaha,Exciter,2012,9898,"Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",Đăng 8 giờ trước
9.500.000 đ,7 triệu,Honda,Cub,1981,15000,"Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",Đăng 8 giờ trước
18.500.000 đ,16 triệu,Honda,Air Blade,2015,9,"Phường Hải Châu  I, Quận Hải Châu, Đà Nẵng",Đăng 8 giờ trước
22.500.000 đ,22 triệu,GPX,Demon 150GR,2020,17000,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",NaN
23.500.000 đ,17 triệu,Piaggio,Liberty,2019,24000,"Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",Đăng 8 giờ trước
13.500.000 đ,11 triệu,Honda,Vision,2013,9,"Phường Hải Châu  I, Quận Hải Châu, Đà Nẵng",NaN
26.500.000 đ,20 triệu,Honda,Vision,2019,17000,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 13 ngày trước
7.200.000 đ,7 triệu,Honda,Wave,2007,13579,"Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng",Đăng 20 ngày trước
14.000.000 đ,13 triệu,Yamaha,Janus,2018,1234,"Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng",NaN
12.500.000 đ,8 triệu,Yamaha,Sirius,2017,24000,"Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",Đăng 8 giờ trước
10.500.000 đ,7 triệu,Honda,Wave,2008,0,"Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",Đăng 8 giờ trước
19.500.000 đ,14 triệu,Honda,Lead,2014,24000,"Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",Đăng 8 giờ trước
27.000.000 đ,42 triệu,Yamaha,R,2017,30000,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 11 ngày trước
4.300.000 đ,6 triệu,Piaggio,Liberty,2011,24000,"Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",Đăng 9 giờ trước
24.500.000 đ,18 triệu,Honda,Lead,2017,24000,"Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",NaN
27.500.000 đ,20 triệu,Honda,Vision,2019,15000,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",Đăng 23 ngày trước
35.000.000 đ,32 triệu,Honda,Vario,2021,19000,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",NaN
12.500.000 đ,7 triệu,Honda,Dream,2001,25000,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",NaN
18.500.000 đ,8 triệu,Honda,Dylan,2004,45,"Phường Mân Thái, Quận Sơn Trà, Đà Nẵng",NaN
1.234.567 đ,50 triệu,Yamaha,TFX,2023,10,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 8 ngày trước
7.900.000 đ,16 triệu,Yamaha,Exciter,2017,8989,"Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",Đăng 9 giờ trước
45.000.000 đ,39 triệu,Honda,SH,2015,12000,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",Đăng 10 ngày trước
12.500.000 đ,Price not available,Honda,Rebel,2010,100,"Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",Đăng 9 giờ trước
31.000.000 đ,30 triệu,Honda,Scoopy,2023,300,"Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",Đăng 12 ngày trước
10.500.000 đ,12 triệu,Honda,Lead,2013,55,"Phường Mân Thái, Quận Sơn Trà, Đà Nẵng",NaN
21.500.000 đ,17 triệu,Kymco,Candy S,2023,2000,"Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",Đăng 9 giờ trước
27.000.000 đ,21 triệu,Honda,Vision,2020,8000,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",Đăng 16 ngày trước
27.500.000 đ,19 triệu,Yamaha,Nvx,2018,15,"Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",Đăng 9 giờ trước
27.000.000 đ,26 triệu,Honda,Lead,2020,16000,"Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng",Đăng 9 giờ trước
43.500.000 đ,37 triệu,Honda,Air Blade,2024,1567,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",Đăng 9 giờ trước
5.500.000 đ,5 triệu,Honda,Lead,2008,99999,"Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",Đăng 15 ngày trước
8.900.000 đ,7 triệu,Yamaha,Nozza,2012,9999,"Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",NaN
7.000.000 đ,4 triệu,Honda,SCR,2011,32000,"Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng",Đăng 10 giờ trước
6.500.000 đ,6 triệu,Piaggio,Vespa,2010,9999,"Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",Đăng 5 ngày trước
74.800.000 đ,62 triệu,Honda,SH,2019,18000,"Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng",Đăng 10 giờ trước
5.200.000 đ,6 triệu,Yamaha,Nouvo,2014,12,"Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",Đăng 10 giờ trước
23.500.000 đ,18 triệu,Honda,Winner X,2021,18,"Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",Đăng 10 giờ trước
49.500.000 đ,31 triệu,Honda,Air Blade,2022,1000,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",Đăng 10 giờ trước
75.000.000 đ,119 triệu,Honda,SH,2011,25000,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",Đăng 23 ngày trước
77.500.000 đ,21 triệu,Honda,Cub,2020,9,"Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",NaN
61.000.000 đ,42 triệu,Yamaha,Exciter,2010,45000,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",Đăng 14 ngày trước
43.500.000 đ,36 triệu,Piaggio,Vespa,2018,25,"Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",Đăng 10 giờ trước
46.000.000 đ,40 triệu,Honda,SH Mode,2019,11000,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",Đăng 10 giờ trước
29.500.000 đ,22 triệu,Honda,Winner X,2022,18,"Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",Đăng 10 giờ trước
19.500.000 đ,15 triệu,Honda,Winner,2018,15000,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",NaN
17.800.000 đ,14 triệu,Yamaha,Exciter,2016,34,"Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng",Đăng 10 giờ trước
33.500.000 đ,23 triệu,Piaggio,Vespa,2015,21,"Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",Đăng 11 giờ trước
9.500.000 đ,7 triệu,Yamaha,Jupiter,2009,123,"Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",Đăng 11 giờ trước
65.000.000 đ,80 triệu,Honda,SH,2023,15000,"Phường Bình Thuận, Quận Hải Châu, Đà Nẵng",Đăng 11 giờ trước
26.500.000 đ,27 triệu,Honda,Winner X,2024,7000,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",Đăng 21 ngày trước
4.300.000 đ,3 triệu,SYM,Elizabeth,2010,10000,"Phường Hòa Hiệp Bắc, Quận Liên Chiểu, Đà Nẵng",Đăng 9 ngày trước
18.500.000 đ,15 triệu,Honda,Winner,2018,21,"Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",Đăng 11 giờ trước
13.500.000 đ,12 triệu,Ducati,Monster,2019,123,"Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",Đăng 11 giờ trước
27.500.000 đ,41 triệu,Piaggio,Medley,2018,18,"Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",Đăng 11 giờ trước
13.500.000 đ,12 triệu,Honda,Future,2014,123,"Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",Đăng 5 ngày trước
32.500.000 đ,32 triệu,Honda,Vario,2020,20,"Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",Đăng 11 giờ trước
30.500.000 đ,32 triệu,Honda,Vario,2020,123,"Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",Đăng 11 giờ trước
17.500.000 đ,13 triệu,Yamaha,Exciter,2013,1,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 11 giờ trước
67.500.000 đ,80 triệu,Honda,SH,2023,6521,"Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",Đăng 11 giờ trước
21.500.000 đ,13 triệu,Yamaha,Exciter,2013,123,"Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",Đăng 11 ngày trước
19.500.000 đ,15 triệu,Honda,Vision,2015,21000,"Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",Đăng 11 giờ trước
37.500.000 đ,106 triệu,Honda,CBR,2021,123,"Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",Đăng 11 giờ trước
17.500.000 đ,13 triệu,Honda,Winner,2017,81,"Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng",Đăng 11 giờ trước
22.500.000 đ,16 triệu,Honda,Lead,2016,24000,"Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",Đăng 12 ngày trước
20.700.000 đ,17 triệu,Honda,Vision,2017,19050,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 12 giờ trước
22.500.000 đ,21 triệu,Honda,Future,2019,123,"Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",Đăng 12 giờ trước
27.800.000 đ,13 triệu,Yamaha,Exciter,2013,1234,"Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",Đăng 19 ngày trước
33.500.000 đ,27 triệu,Honda,SH Mode,2014,123,"Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",NaN
10.900.000 đ,10 triệu,Yamaha,Sirius,2021,10000,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",NaN
21.500.000 đ,16 triệu,Honda,Air Blade,2015,19000,"Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",Đăng 12 giờ trước
11.500.000 đ,11 triệu,Honda,Wave,2019,26000,"Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",Đăng 18 ngày trước
21.500.000 đ,14 triệu,Yamaha,Exciter,2014,123,"Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",Đăng 17 ngày trước
32.500.000 đ,24 triệu,Piaggio,Primavera,2017,12000,"Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",NaN
49.000.000 đ,50 triệu,Suzuki,GZ,2019,45000,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",Đăng 12 giờ trước
25.500.000 đ,22 triệu,Yamaha,Nvx,2019,123,"Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",Đăng 12 giờ trước
12.200.000 đ,9 triệu,Yamaha,Sirius,2019,12645,"Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",Đăng 12 giờ trước
8.800.000 đ,6 triệu,Yamaha,Sirius,2011,12345,"Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",Đăng 12 giờ trước
12.000.000 đ,9 triệu,Honda,Air Blade,2012,34,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",Đăng 12 giờ trước
17.500.000 đ,14 triệu,Yamaha,Exciter,2014,123,"Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",NaN
18.500.000 đ,14 triệu,Honda,Dylan,2007,123,"Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",Đăng 12 giờ trước
10.500.000 đ,14 triệu,Yamaha,Exciter,2012,399,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",Đăng 14 ngày trước
6.900.000 đ,8 triệu,Honda,Air Blade,2009,20000,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",Đăng 14 ngày trước
38.500.000 đ,36 triệu,Honda,Air Blade,2023,16000,"Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",Đăng 13 giờ trước
25.500.000 đ,20 triệu,Honda,Vision,2019,18000,"Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",Đăng 13 giờ trước
25.500.000 đ,20 triệu,Honda,Vision,2019,18000,"Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",Đăng 13 giờ trước
8.500.000 đ,6 triệu,Yamaha,Sirius,2010,12345,"Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",Đăng 13 giờ trước
13.500.000 đ,12 triệu,Yamaha,Janus,2017,13579,"Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng",NaN
16.800.000 đ,14 triệu,Honda,Wave,2023,8000,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",Đăng 13 giờ trước
38.500.000 đ,36 triệu,Honda,Vario,2023,14,"Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",Đăng 16 ngày trước
5.200.000 đ,6 triệu,Yamaha,Sirius,2006,13579,"Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng",NaN
8.500.000 đ,7 triệu,SYM,Shark,2010,12000,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",NaN
25.500.000 đ,21 triệu,Honda,Vision,2020,14,"Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",NaN
11.000.000 đ,23 triệu,Piaggio,Vespa,2015,13579,"Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng",NaN
69.800.000 đ,77 triệu,Honda,SH,2024,1800,"Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng",Đăng 13 giờ trước
11.000.000 đ,5 triệu,Yamaha,Mio,2006,15000,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 10 ngày trước
56.000.000 đ,56 triệu,Honda,SH,2017,18,"Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",NaN
10.500.000 đ,6 triệu,SYM,Shark,2012,15000,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",NaN
25.500.000 đ,16 triệu,Honda,PCX,2010,7000,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",Đăng 9 ngày trước
12.500.000 đ,13 triệu,Honda,Cub,1998,11111,"Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",Đăng 14 giờ trước
26.800.000 đ,22 triệu,Yamaha,Exciter,2020,12000,"Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",Đăng 14 giờ trước
10.500.000 đ,7 triệu,Honda,Air Blade,2007,35000,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",NaN
38.800.000 đ,37 triệu,Honda,SH,2014,18000,"Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",Đăng 14 giờ trước
12.500.000 đ,8 triệu,Piaggio,Liberty,2014,12000,"Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng",NaN
3.200.000 đ,8 triệu,Honda,Cub,2013,10000,"Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",NaN
59.000.000 đ,56 triệu,Honda,SH,2017,14,"Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",Đăng 25 ngày trước
14.500.000 đ,10 triệu,Piaggio,Vespa,2013,35000,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",NaN
32.500.000 đ,22 triệu,Suzuki,Satria,2023,11000,"Phường An Khê, Quận Thanh Khê, Đà Nẵng",Đăng 14 giờ trước
9.200.000 đ,8 triệu,Daelim,Dòng khác,2020,10000,"Phường Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng",Đăng 14 giờ trước
11.000.000 đ,9 triệu,Piaggio,Liberty,2015,18,"Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",Đăng 17 ngày trước
11.000.000 đ,6 triệu,Honda,Click,2009,15000,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",NaN
12.500.000 đ,6 triệu,Hãng khác,Dòng khác,2020,17000,"Phường Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng",Đăng 14 giờ trước
32.800.000 đ,32 triệu,Honda,Vario,2021,12000,"Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",NaN
29.500.000 đ,24 triệu,Peugeot,Django,2017,24000,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 7 ngày trước
9.200.000 đ,9 triệu,Detech,Espero,2022,13000,"Phường Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng",Đăng 14 giờ trước
32.500.000 đ,32 triệu,Honda,Vario,2020,22222,"Phường Mân Thái, Quận Sơn Trà, Đà Nẵng",Đăng 14 giờ trước
21.500.000 đ,15 triệu,Yamaha,Grande,2015,18,"Phường Mân Thái, Quận Sơn Trà, Đà Nẵng",Đăng 14 giờ trước
11.000.000 đ,7 triệu,Honda,Click,2008,35000,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 6 ngày trước
5.500.000 đ,3 triệu,Hãng khác,Dòng khác,2010,21849,"Xã Hòa Châu, Huyện Hòa Vang, Đà Nẵng",NaN
9.800.000 đ,6 triệu,Yamaha,Sirius,2012,284669,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",Đăng 15 giờ trước
56.500.000 đ,57 triệu,Honda,SH,2018,30000,"Phường Mân Thái, Quận Sơn Trà, Đà Nẵng",Đăng 19 ngày trước
58.500.000 đ,51 triệu,Piaggio,Vespa,2022,12000,"Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",Đăng 15 giờ trước
9.500.000 đ,7 triệu,Honda,Wave,2008,60,"Phường Tân Chính, Quận Thanh Khê, Đà Nẵng",Đăng 15 giờ trước
16.000.000 đ,14 triệu,Yamaha,Exciter,2012,39000,"Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",Đăng 15 giờ trước
20.800.000 đ,16 triệu,Yamaha,Exciter,2018,22000,"Phường Mân Thái, Quận Sơn Trà, Đà Nẵng",Đăng 15 giờ trước
26.000.000 đ,14 triệu,Honda,Wave,2022,15000,"Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng",Đăng 15 giờ trước
18.500.000 đ,15 triệu,Honda,Winner,2019,30000,"Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",Đăng 15 giờ trước
45.000.000 đ,45 triệu,Honda,SH,2016,25000,"Phường Mân Thái, Quận Sơn Trà, Đà Nẵng",Đăng 7 ngày trước
31.500.000 đ,32 triệu,Honda,Vario,2021,9600,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 15 giờ trước
5.000.000 đ,4 triệu,Piaggio,Fly,2012,80000,"Phường Hòa Phát, Quận Cẩm Lệ, Đà Nẵng",Đăng 15 giờ trước
25.500.000 đ,20 triệu,Honda,Air Blade,2017,14600,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 15 giờ trước
17.000.000 đ,13 triệu,Yamaha,Exciter,2013,10000,"Phường An Khê, Quận Thanh Khê, Đà Nẵng",Đăng 15 giờ trước
12.500.000 đ,9 triệu,Piaggio,Liberty,2015,21300,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 15 giờ trước
40.500.000 đ,36 triệu,Honda,Air Blade,2023,5000,"Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng",Đăng 2 ngày trước
20.500.000 đ,16 triệu,Honda,Air Blade,2015,19600,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 15 giờ trước
35.000.000 đ,30 triệu,Honda,SH Mode,2016,13900,"Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",Đăng 15 giờ trước
9.500.000 đ,17 triệu,Piaggio,Vespa,2014,25300,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 15 giờ trước
9.500.000 đ,7 triệu,Yamaha,Jupiter,2014,50000,"Phường Thanh Bình, Quận Hải Châu, Đà Nẵng",Đăng 15 giờ trước
71.500.000 đ,80 triệu,Honda,SH,2023,5000,"Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng",Đăng 16 giờ trước
12.500.000 đ,10 triệu,Honda,Air Blade,2011,25880,"Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",Đăng 16 ngày trước
3.600.000 đ,7 triệu,Yamaha,Nouvo,2015,23671,"Phường An Khê, Quận Thanh Khê, Đà Nẵng",Đăng 16 giờ trước
26.500.000 đ,25 triệu,Honda,MSX 125,2020,15000,"Phường An Khê, Quận Thanh Khê, Đà Nẵng",Đăng 16 giờ trước
37.500.000 đ,13 triệu,Honda,Dòng khác,2015,13000,"Phường An Khê, Quận Thanh Khê, Đà Nẵng",Đăng 16 giờ trước
12.500.000 đ,17 triệu,Piaggio,Vespa,2014,18000,"Phường An Khê, Quận Thanh Khê, Đà Nẵng",Đăng 16 giờ trước
25.500.000 đ,20 triệu,Yamaha,Exciter,2019,13000,"Phường An Khê, Quận Thanh Khê, Đà Nẵng",Đăng 16 giờ trước
27.800.000 đ,24 triệu,Honda,Air Blade,2019,25000,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",Đăng 16 giờ trước
