Price,Min_Price,Brand,Model,Year of Manufacture,Kilometer Driven,Địa điểm,Thời gian đăng
18.500.000 đ,14 triệu,Yamaha,Janus,2019,1,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 14 ngày trước
38.800.000 đ,36 triệu,Honda,Air Blade,2023,17000,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",Đăng 14 ngày trước
35.000.000 đ,35 triệu,Piaggio,Primavera,2019,6000,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 14 ngày trước
15.500.000 đ,11 triệu,Hãng khác,Dòng khác,2023,12,"Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",Đăng 14 ngày trước
25.000.000 đ,20 triệu,Honda,Air Blade,2016,21,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 14 ngày trước
29.800.000 đ,24 triệu,Honda,Air Blade,2019,25000,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",Đăng 14 ngày trước
22.000.000 đ,17 triệu,Honda,Winner X,2020,21000,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 14 ngày trước
20.800.000 đ,14 triệu,Yamaha,Janus,2019,250000,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",Đăng 14 ngày trước
16.500.000 đ,12 triệu,Honda,Dream,2005,30,"Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",Đăng 14 ngày trước
34.000.000 đ,24 triệu,GPX,Legend 200,2020,9000,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 14 ngày trước
43.800.000 đ,36 triệu,Honda,Vario,2023,7000,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",NaN
34.000.000 đ,30 triệu,Yamaha,R,2020,1,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 14 ngày trước
